palabra_clave,tipo,estado,campaña,grupo,impresiones,clicks,costo,conversiones,ctr_pct,cpc,costo_por_lead,ctr_estado,genera_trafico,convierte
bioinsumo trigo,EXACT,ENABLED,Biotica N2 - Búsqueda,Cultivos Específicos,0,0,0.0,0.0,0.0,0.0,,bajo,False,False
bioinsumo maíz,PHRASE,ENABLED,Biotica N2 - Búsqueda,Cultivos Específicos,0,0,0.0,0.0,0.0,0.0,,bajo,False,False
bioinsumo maíz,EXACT,ENABLED,Biotica N2 - Búsqueda,Cultivos Específicos,0,0,0.0,0.0,0.0,0.0,,bajo,False,False
bioinsumo girasol,PHRASE,ENABLED,Biotica N2 - Búsqueda,Cultivos Específicos,0,0,0.0,0.0,0.0,0.0,,bajo,False,False
bioinsumo girasol,EXACT,ENABLED,Biotica N2 - Búsqueda,Cultivos Específicos,0,0,0.0,0.0,0.0,0.0,,bajo,False,False
bioinsumo maíz,BROAD,PAUSED,Biotica N2 - Búsqueda,Cultivos Específicos,0,0,0.0,0.0,0.0,0.0,,bajo,False,False
bioinsumo girasol,BROAD,PAUSED,Biotica N2 - Búsqueda,Cultivos Específicos,0,0,0.0,0.0,0.0,0.0,,bajo,False,False
bioinsumo soja,PHRASE,ENABLED,Biotica N2 - Búsqueda,Cultivos Específicos,2,0,0.0,0.0,0.0,0.0,,bajo,False,False
bioinsumo soja,EXACT,ENABLED,Biotica N2 - Búsqueda,Cultivos Específicos,1,0,0.0,0.0,0.0,0.0,,bajo,False,False
fijador de nitrógeno soja,PHRASE,ENABLED,Biotica N2 - Búsqueda,Cultivos Específicos,0,0,0.0,0.0,0.0,0.0,,bajo,False,False
fijador de nitrógeno soja,EXACT,ENABLED,Biotica N2 - Búsqueda,Cultivos Específicos,0,0,0.0,0.0,0.0,0.0,,bajo,False,False
